GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calendar,com.bestgroup.calendar.animations,Shake,31,0,0,0,9,0,2,0,2,0
Calendar,com.bestgroup.calendar.controllers,FilledEventController,255,0,22,0,73,0,19,0,8,0
Calendar,com.bestgroup.calendar.controllers,DayMenuController,90,0,2,0,24,0,8,0,7,0
Calendar,com.bestgroup.calendar.controllers,SuccessWritingController,22,0,0,0,7,0,3,0,3,0
Calendar,com.bestgroup.calendar.controllers,AddEventController,422,0,16,0,119,0,19,0,11,0
Calendar,com.bestgroup.calendar.controllers,NewScene,49,0,0,0,16,0,3,0,3,0
Calendar,com.bestgroup.calendar.controllers,FailedChoosingYearController,15,0,0,0,3,0,3,0,3,0
Calendar,com.bestgroup.calendar.controllers,MainMenuController,352,0,2,0,53,0,22,0,21,0
Calendar,com.bestgroup.calendar.controllers,ControllerMonthMenu,139,0,10,0,35,0,10,0,5,0
Calendar,com.bestgroup.calendar.controllers,EventsController,278,0,18,0,70,0,17,0,8,0
Calendar,com.bestgroup.calendar.controllers,SuccessDeleteController,22,0,0,0,7,0,3,0,3,0
Calendar,com.bestgroup.calendar.controllers,FailedWritingController,15,0,0,0,3,0,3,0,3,0
Calendar,com.bestgroup.calendar.controllers,SettingController,175,0,2,0,30,0,6,0,5,0
Calendar,com.bestgroup.calendar,CurrentTime,94,0,0,0,30,0,7,0,7,0
Calendar,com.bestgroup.calendar,HelloApplication,15,0,0,0,6,0,3,0,3,0
Calendar,com.bestgroup.calendar,Notifications,38,0,0,0,12,0,2,0,2,0
Calendar,com.bestgroup.calendar,AppHelper,308,29,60,0,83,14,40,8,10,8
Calendar,com.bestgroup.calendar,EventHelper,150,0,18,0,48,0,21,0,12,0
